Unnamed: 0,age,Gender,Department,employment status,Years of experience,Work environment,Do you often feel overwhelmed by your workload?,Is your workload generally manageable?,Do you frequently work beyond your scheduled hours?,Do you feel supported by your manager and team?,Are you satisfied with the resources and help available at work?,Do you often feel isolated when dealing with work challenges?,Do you frequently think about work in your personal time?,Do you feel you have a healthy work-life balance?,Does your work often interfere with personal or family time?,Do you regularly feel physically or emotionally exhausted?,"Do you experience symptoms like sleep issues, anxiety, or low mood?",Do you regularly engage in physical or leisure activities?,How do you feel?
0,41-50,male,Other,full-time,6-10,hybrid,5,1,1,5,5,5,3,3,4,2,5,3,Mildly Stressed
1,51-60,female,Hardware engineering,contract,1-5,remote,4,4,2,1,1,5,3,5,2,3,5,1,Highly Stressed
2,31-40,male,Software development,full-time,11-15,remote,4,1,2,2,4,3,1,4,5,5,2,5,Mildly Stressed
3,51-60,female,Software development,full-time,less than 1 year,hybrid,2,3,3,5,5,4,5,2,5,1,5,3,Mildly Stressed
4,51-60,male,Software development,full-time,11-15,hybrid,3,2,1,2,1,4,1,1,5,4,5,2,Highly Stressed
5,21-30,female,IT Services,part-time,less than 1 year,hybrid,2,3,3,1,5,4,4,3,1,5,3,3,Mildly Stressed
6,31-40,male,IT Services,contract,16-20,remote,4,3,2,1,4,3,2,4,5,5,1,3,Mildly Stressed
7,31-40,female,Cyber Security,full-time,16-20,Office-based,3,5,1,1,5,5,4,3,1,4,2,2,Mildly Stressed
8,31-40,female,Cyber Security,full-time,less than 1 year,remote,3,3,5,5,4,4,4,1,2,2,2,3,Mildly Stressed
9,51-60,female,Cyber Security,part-time,11-15,remote,5,4,2,4,5,3,1,1,3,4,3,2,Mildly Stressed
10,41-50,male,IT Services,contract,less than 1 year,Office-based,5,3,2,4,5,3,2,1,5,5,3,4,Mildly Stressed
11,31-40,female,IT Services,contract,1-5,hybrid,1,4,2,2,2,2,5,5,4,3,1,5,Healthy
12,51-60,male,Cyber Security,part-time,16-20,remote,5,1,1,5,4,4,4,3,4,2,4,1,Mildly Stressed
13,21-30,male,Cyber Security,part-time,1-5,Office-based,3,5,4,3,3,5,5,5,5,4,2,3,Mildly Stressed
14,41-50,female,Other,contract,16-20,hybrid,5,4,5,4,5,1,2,1,1,1,5,2,Mildly Stressed
15,21-30,female,Cyber Security,part-time,16-20,hybrid,1,3,5,5,1,3,2,4,4,4,1,5,Healthy
16,41-50,female,Other,contract,6-10,remote,4,5,3,5,2,2,1,1,4,5,2,3,Mildly Stressed
17,51-60,male,Hardware engineering,contract,1-5,hybrid,5,5,1,4,2,1,3,5,2,5,1,5,Healthy
18,under 20,female,IT Services,full-time,1-5,hybrid,3,4,2,5,5,3,1,1,2,1,4,4,Healthy
19,41-50,male,Cyber Security,full-time,6-10,Office-based,4,4,4,5,3,2,5,1,2,2,2,3,Mildly Stressed
20,21-30,male,IT Services,contract,11-15,Office-based,3,2,1,4,2,4,1,5,4,5,5,2,Mildly Stressed
21,51-60,female,IT Services,contract,1-5,hybrid,4,2,1,1,4,2,2,5,4,2,2,4,Healthy
22,41-50,female,IT Services,contract,less than 1 year,Office-based,3,5,4,2,5,3,4,4,5,2,1,3,Mildly Stressed
23,under 20,female,Hardware engineering,contract,6-10,hybrid,5,2,2,3,5,4,3,5,5,4,4,5,Mildly Stressed
24,under 20,female,Software development,contract,1-5,remote,5,3,1,2,3,5,2,4,1,2,1,4,Healthy
25,31-40,female,Cyber Security,contract,11-15,Office-based,1,1,5,1,4,2,4,2,4,5,1,2,Highly Stressed
26,31-40,female,Software development,part-time,1-5,hybrid,4,5,5,1,4,1,5,2,5,5,3,3,Highly Stressed
27,21-30,male,Software development,contract,16-20,hybrid,1,1,4,5,3,4,5,5,5,3,1,5,Mildly Stressed
28,41-50,male,Software development,part-time,less than 1 year,Office-based,2,2,2,2,1,4,5,1,2,2,4,5,Highly Stressed
29,41-50,male,IT Services,part-time,6-10,Office-based,5,4,4,1,4,5,1,3,2,3,5,4,Mildly Stressed
30,31-40,female,Other,contract,16-20,remote,4,5,1,2,1,2,5,1,2,4,3,3,Mildly Stressed
31,41-50,male,IT Services,contract,11-15,hybrid,1,2,5,1,1,1,5,5,3,3,1,5,Mildly Stressed
32,41-50,male,IT Services,part-time,16-20,remote,1,3,3,3,5,5,1,4,5,2,2,4,Healthy
33,under 20,male,Software development,part-time,16-20,remote,2,5,4,1,5,2,4,1,2,5,3,1,Mildly Stressed
34,31-40,male,IT Services,contract,11-15,remote,1,5,3,2,2,1,2,2,2,4,4,5,Healthy
35,51-60,male,Software development,contract,16-20,Office-based,3,4,3,5,5,1,3,5,4,2,2,4,Healthy
36,31-40,female,Other,part-time,6-10,remote,5,5,5,2,4,3,5,1,2,4,4,1,Highly Stressed
